# 01 | delete 0：JavaScript中到底有什么是可以销毁的

#separator:tab
#html:true
JavaScript中delete操作值类型的返回值	"<pre><code class=""language-javascript"">console.log(delete 0); // true (操作值类型始终返回true)
console.log(delete ""hello""); // true
console.log(delete NaN); // true</code></pre>"
JavaScript参数绑定阶段	"<pre><code class=""language-javascript"">// 参数绑定两个阶段
function example(a, b = 2) {
  // 阶段1: 闭包创建时登记参数名(a, b)
  // 阶段2: 执行时绑定实际值
  
  console.log(a, b);
}

// 调用时绑定
example(1); // 1 2
example(1, 3); // 1 3

// 函数作用域内参数可见
function testParamVisibility(x) {
  console.log(x); // 100
  var x = 200;    // 覆盖参数值
  console.log(x); // 200
}
testParamVisibility(100);</code></pre>"
简单参数与非简单参数对比	"<pre><code class=""language-javascript"">// 简单参数
function simple(a, b) {
  console.log(arguments[0]); // 100 (同步)
  a = 200;
  console.log(arguments[0]); // 200 (同步)
}
simple(100, 200);

// 非简单参数（默认值）
function complex(x = 1, y = 2) {
  ""use strict"";
  console.log(arguments[0]); // 100 (不同步)
  x = 200;
  console.log(arguments[0]); // 100 (保持原值)
}
complex(100, 200);

// 重名参数检查
function duplicate(a, a) { // 非严格模式允许
  console.log(a);
}
duplicate(1, 2); // 2

function strictDuplicate(a, a) { // 严格模式报错
  ""use strict"";
}
// strictDuplicate(1, 2); // SyntaxError</code></pre>"
闭包与作用域冲突处理	"<pre><code class=""language-javascript"">// 闭包环境隔离
function createCounter() {
  let count = 0;
  return {
    increment: () => count++,
    getCount: () => count
  };
}

const c1 = createCounter();
const c2 = createCounter();
c1.increment();
console.log(c1.getCount()); // 1
console.log(c2.getCount()); // 0

// 作用域冲突
function scopeConflict(x) {
  console.log(x); // 100
  let x = 200;    // SyntaxError: Identifier 'x' has already been declared
}
// scopeConflict(100);</code></pre>"
ES6默认参数特性	"<pre><code class=""language-javascript"">// 默认参数在函数作用域内求值
let external = 10;

function withDefaults(x = external + 5) {
  console.log(x);
  
  // 内部同名变量不影响默认值
  let external = 20;
  console.log(external); // 20
}

withDefaults(); // 15 (使用外部的external)

external = 20;
withDefaults(); // 25

// 默认值表达式动态计算
function dynamicDefault(value = Date.now()) {
  console.log(value);
}
dynamicDefault(); // 当前时间戳
setTimeout(() => dynamicDefault(), 1000); // 新时间戳</code></pre>"
箭头函数特性对比	"<pre><code class=""language-javascript"">// 传统函数
function traditional() {
  console.log(this); // 动态绑定
  console.log(arguments); // 参数对象
}
traditional.call({ id: 1 }, 1, 2, 3);

// 箭头函数
const arrow = () => {
  console.log(this); // 继承自定义位置
  // console.log(arguments); // ReferenceError
};
arrow.call({ id: 2 }); // this不变

// 构造函数能力
try {
  new (() => {})(); // TypeError: arrow is not a constructor
} catch (e) {
  console.log(e.message);
}

// 自动命名
const namedArrow = () => {};
console.log(namedArrow.name); // ""namedArrow""</code></pre>"
函数式抽象与恒等函数	"<pre><code class=""language-javascript"">// 恒等函数
const identity = x => x;
console.log(identity(100) === 100); // true

// 函数作为数据
const operations = {
  add: (a, b) => a + b,
  multiply: (a, b) => a * b
};

console.log(operations.add(2, 3)); // 5
console.log(operations.multiply(2, 3)); // 6

// 闭包作为状态容器
const createState = initial => {
  let state = initial;
  return {
    get: () => state,
    set: newValue => state = newValue
  };
};

const counter = createState(0);
counter.set(counter.get() + 1);
console.log(counter.get()); // 1</code></pre>"
参数求值上下文差异	"<pre><code class=""language-javascript"">let y = 10;

function contextTest(x = y + 5) {
  // 默认参数在外部作用域求值
  let y = 20;
  console.log(x); // 15 (使用外部y)
}

contextTest();

// 实际参数在外部求值
function externalEval(a, b) {
  console.log(a, b);
}

let value = 100;
externalEval(value, value * 2); // 100 200</code></pre>"
严格模式对参数的影响	"<pre><code class=""language-javascript"">// 非严格模式
function nonStrict(a, a) {
  console.log(a); // 第二个a覆盖第一个
}
nonStrict(1, 2); // 2

// 严格模式
function strictDuplicate(a, a) { // SyntaxError: Duplicate parameter name
  ""use strict"";
}
// strictDuplicate(1, 2);

// arguments分离
function strictArgs(x, y = 10) {
  ""use strict"";
  x = 20;
  console.log(arguments[0]); // 100 (不变)
}
strictArgs(100);</code></pre>"
参数模式最佳实践	"<pre><code class=""language-javascript"">// 1. 可选配置项：解构+默认值
function renderContent({ title = ""Untitled"", content = """" } = {}) {
  console.log(`<h1>${title}</h1><p>${content}</p>`);
}
renderContent({ content: ""Hello"" });

// 2. 必需参数：简单形式
function requiredParams(username, password) {
  // 验证逻辑
}

// 3. 动态参数数量：Rest参数
function dynamicParams(...args) {
  console.log(args.length, args);
}
dynamicParams(1, 2, 3);</code></pre>"


# 09 | (...x)：不是表达式、语句、函数，但它却能执行

#separator:tab
#html:true
JavaScript迭代器协议实现	"<pre><code class=""language-javascript"">// 自定义迭代器实现
const countdown = {
  from: 5,
  to: 1,
  
  [Symbol.iterator]() {
    let current = this.from;
    return {
      next: () => {
        if (current >= this.to) {
          return { value: current-- };
        }
        return { done: true };
      }
    };
  }
};

// 使用迭代器
const iterator = countdown[Symbol.iterator]();
console.log(iterator.next().value); // 5
console.log(iterator.next().value); // 4
console.log(iterator.next().done);  // false</code></pre>"
JavaScript可迭代对象创建	"<pre><code class=""language-javascript"">// 将普通对象转为可迭代对象
const dataSet = {
  values: [""A"", ""B"", ""C""],
  [Symbol.iterator]() {
    let index = 0;
    return {
      next: () => 
        index < this.values.length 
          ? { value: this.values[index++] } 
          : { done: true }
    };
  }
};

// 使用for...of遍历
for (const item of dataSet) {
  console.log(item); // A, B, C
}</code></pre>"
JavaScript展开语法本质	"<pre><code class=""language-javascript"">// 展开语法特性演示
function showSpreadProperties() {
  // 1. 语法而非运算符
  // const result = ...dataSet; // 语法错误
  
  // 2. 无返回值
  const arr = [...dataSet];
  console.log(arr); // [""A"",""B"",""C""]
  
  // 3. 异常不传递
  const brokenIter = {
    [Symbol.iterator]() {
      throw new Error(""迭代异常"");
    }
  };
  try {
    console.log(...brokenIter); // 直接抛出异常
  } catch(e) {
    console.error(e.message); // ""迭代异常""
  }
}
showSpreadProperties();</code></pre>"
JavaScript迭代器生命周期控制	"<pre><code class=""language-javascript"">// 资源管理迭代器
const managedResource = {
  [Symbol.iterator]() {
    let resource = ""资源已分配"";
    let count = 3;
    
    return {
      next() {
        if (count-- > 0) return { value: count };
        return { done: true };
      },
      return() {
        console.log(""清理资源:"", resource);
        resource = null;
        return { done: true };
      },
      throw(e) {
        console.error(""处理异常:"", e.message);
        this.return();
        throw e;
      }
    };
  }
};

// 测试中断处理
for (const num of managedResource) {
  if (num === 1) break; // 触发return()
}
// 输出: 清理资源: 资源已分配</code></pre>"
JavaScript for...of中断处理	"<pre><code class=""language-javascript"">// 循环中断触发return()
const interruptible = {
  [Symbol.iterator]() {
    return {
      next: () => ({ value: Math.random() }),
      return: () => console.log(""循环中断"")
    };
  }
};

for (const num of interruptible) {
  if (num > 0.5) break; // 触发return()
  // 输出: 循环中断
}

// 异常不会触发throw()
try {
  for (const num of interruptible) {
    throw new Error(""测试异常"");
  }
} catch(e) {
  console.log(e.message); // ""测试异常"" (不会调用throw)
}</code></pre>"
JavaScript迭代异常处理边界	"<pre><code class=""language-javascript"">// 迭代器异常处理
const criticalIter = {
  [Symbol.iterator]() {
    let count = 3;
    return {
      next: () => {
        if (count === 2) throw new Error(""关键错误"");
        return { value: count-- };
      },
      throw: (e) => console.log(""捕获:"", e.message)
    };
  }
};

// 函数内异常
try {
  for (const item of criticalIter) {
    console.log(item);
  }
} catch(e) {
  console.error(""外部捕获:"", e.message); // ""关键错误""
}

// 展开语法不处理异常
console.log(...criticalIter); // 直接抛出异常</code></pre>"
JavaScript递归与迭代对比	"<pre><code class=""language-javascript"">// 递归实现
function recursiveCountdown(n) {
  if (n <= 0) return;
  console.log(n);
  recursiveCountdown(n - 1);
}
recursiveCountdown(3); // 3,2,1

// 迭代实现
function iterativeCountdown(n) {
  const iter = {
    [Symbol.iterator]() {
      let current = n;
      return {
        next: () => {
          if (current > 0) return { value: current-- };
          return { done: true };
        }
      };
    }
  };
  
  for (const num of iter) {
    console.log(num); // 3,2,1
  }
}
iterativeCountdown(3);</code></pre>"
JavaScript迭代器规范实现	"<pre><code class=""language-javascript"">// 完整的迭代器实现
const safeIter = {
  data: [10, 20, 30],
  
  [Symbol.iterator]() {
    let current = 0;
    const that = this;
    
    return {
      next() {
        if (current < that.data.length) {
          return { value: that.data[current++] };
        }
        return { done: true };
      },
      return() {
        console.log(""迭代提前终止"");
        return { done: true };
      },
      throw(e) {
        console.error(""迭代异常:"", e.message);
        this.return();
        return { done: true };
      }
    };
  }
};

// 测试资源清理
for (const num of safeIter) {
  if (num === 20) break; // 触发return()
  // 输出: 迭代提前终止
}</code></pre>"
JavaScript展开语法适用场景	"<pre><code class=""language-javascript"">// 推荐场景：数据转换
const arr1 = [1, 2, 3];
const arr2 = [4, 5, 6];
console.log([...arr1, ...arr2]); // 合并数组

const obj1 = { a: 1 };
const obj2 = { b: 2 };
console.log({ ...obj1, ...obj2 }); // 合并对象

// 避免场景：含副作用的迭代
let counter = 0;
const sideEffectIter = {
  [Symbol.iterator]() {
    return {
      next: () => {
        counter++;
        return { value: counter };
      }
    };
  }
};

// 不可预测行为（可能因异常中断）
try {
  const result = [...sideEffectIter];
} catch(e) {
  console.log(counter); // 不确定值
}</code></pre>"
JavaScript迭代器综合示例	"<pre><code class=""language-javascript"">const managedObj = {
  data: [""文件1"", ""文件2"", ""文件3""],
  openResources: [],
  
  [Symbol.iterator]() {
    let index = 0;
    const that = this;
    
    return {
      next() {
        if (index >= that.data.length) 
          return { done: true };
          
        const resource = `打开:${that.data[index]}`;
        that.openResources.push(resource);
        return { value: resource };
      },
      return() {
        console.log(""清理资源:"", that.openResources);
        that.openResources = [];
        return { done: true };
      },
      throw(e) {
        console.error(`处理错误:${e.message}`);
        this.return();
        throw e;
      }
    };
  }
};

// 场景1: 正常迭代
for (const res of managedObj) {
  console.log(res);
}
console.log(managedObj.openResources); // []

// 场景2: 中断触发清理
for (const res of managedObj) {
  if (res.includes(""2"")) break; // 触发return()
  // 输出: 清理资源: [""打开:文件1"", ""打开:文件2""]
}</code></pre>"

# 10 | x = yield x：迭代过程的“函数式化”

#separator:tab
#html:true
JavaScript生成器函数定义与特性	"<pre><code class=""language-javascript"">// 生成器函数定义
function* counter(start = 5) {
  // 调用时不立即执行
  console.log(""首次调用.next()前不执行"");
  
  while (start--) {
    yield start; // 暂停点
  }
  return ""完成"";
}

// 创建生成器对象
const gen = counter(3);
console.log(gen.next().value); // 2 (首次执行到第一个yield)
console.log(gen.next().value); // 1</code></pre>"
JavaScript生成器执行状态管理	"<pre><code class=""language-javascript"">function* stateDemo() {
  console.log(""状态: executing"");
  yield ""暂停1"";
  console.log(""恢复执行"");
  yield ""暂停2"";
}

const gen = stateDemo();
console.log(gen.next()); // { value: ""暂停1"", done: false }
// 状态: executing
console.log(gen.next()); // { value: ""暂停2"", done: false }
// 恢复执行
console.log(gen.next()); // { value: undefined, done: true }</code></pre>"
yield双通道数据传递机制	"<pre><code class=""language-javascript"">function* dataChannel() {
  // 值传出
  const received1 = yield ""传出值1"";
  console.log(received1); // 输入值1
  
  // 值传入
  const received2 = yield ""传出值2"";
  console.log(received2); // 输入值2
}

const gen = dataChannel();
console.log(gen.next().value); // ""传出值1""
console.log(gen.next(""输入值1"").value); // ""传出值2""
gen.next(""输入值2"");</code></pre>"
生成器上下文保留机制	"<pre><code class=""language-javascript"">function* contextPreserve() {
  let count = 0;
  while (true) {
    // 每次暂停保留count状态
    count += yield count;
  }
}

const gen = contextPreserve();
console.log(gen.next().value);  // 0 (初始值)
console.log(gen.next(5).value); // 5 (0+5)
console.log(gen.next(3).value); // 8 (5+3)</code></pre>"
生成器初始参数绑定	"<pre><code class=""language-javascript"">function* parameterBinding(x, y = 10) {
  yield `x=${x}`;
  yield `y=${y}`;
  yield `总和=${x + y}`;
}

const gen = parameterBinding(5);
console.log(gen.next().value); // x=5
console.log(gen.next().value); // y=10
console.log(gen.next().value); // 总和=15</code></pre>"
yield接收参数原理	"<pre><code class=""language-javascript"">function* parameterLogic() {
  const a = yield;      // 接收第1次.next(v)的值
  const b = yield a;    // 接收第2次.next(v)的值
  yield a + b;
}

const gen = parameterLogic();
gen.next();         // 启动生成器
console.log(gen.next(10).value);  // 10 (a=10)
console.log(gen.next(20).value);  // 30 (b=20, 返回10+20)</code></pre>"
生成器栈帧分离机制	"<pre><code class=""language-text"">// 生成器上下文存储位置对比
普通函数上下文:
  - 存储位置: 调用栈
  - 生命周期: 函数执行期间
  - 示例: function call() { ... }

生成器上下文:
  - 存储位置: 堆内存
  - 生命周期: 生成器对象存活期间
  - 示例: function* gen() { ... }

关键技术: 栈帧分离使生成器可暂停/恢复</code></pre>"
嵌套生成器执行	"<pre><code class=""language-javascript"">function* inner() {
  yield ""内层1"";
  yield ""内层2"";
}

function* outer() {
  yield ""外层开始"";
  yield* inner(); // 委托执行
  yield ""外层结束"";
}

const gen = outer();
console.log(gen.next().value); // 外层开始
console.log(gen.next().value); // 内层1
console.log(gen.next().value); // 内层2
console.log(gen.next().value); // 外层结束</code></pre>"
生成器资源管理	"<pre><code class=""language-javascript"">// 结合try...finally确保资源释放
function* resourceManager() {
  let resource = ""打开资源"";
  try {
    yield `使用中: ${resource}`;
    yield `继续使用: ${resource}`;
  } finally {
    console.log(`清理: ${resource}`);
    resource = null;
  }
}

const gen = resourceManager();
console.log(gen.next().value); // 使用中: 打开资源
gen.return(); // 触发finally块
// 输出: 清理: 打开资源</code></pre>"
生成器迭代协议实现	"<pre><code class=""language-javascript"">// 生成器是迭代器也是可迭代对象
function* countdown(from) {
  while (from--) yield from;
}

const gen = countdown(3);
console.log(gen.next().value); // 3
console.log(gen.next().value); // 2

// 自引用特性
const iterator = gen[Symbol.iterator]();
console.log(iterator === gen); // true

// 可迭代特性
for (const num of countdown(2)) {
  console.log(num); // 2, 1
}</code></pre>"
生成器与普通函数对比	"<pre><code class=""language-javascript"">// 普通函数 vs 生成器函数
function normalFunc() {
  return ""单次返回"";
}

function* generatorFunc() {
  yield ""多次暂停"";
  return ""最终返回"";
}

// 执行特性对比
console.log(normalFunc()); // ""单次返回"" (立即执行)

const gen = generatorFunc();
console.log(gen.next().value); // ""多次暂停""
console.log(gen.next().value); // ""最终返回""

// 上下文存储差异
function testClosure() {
  let x = 10;
  return function() { return x++; };
}
const closure = testClosure();
console.log(closure()); // 10

function* testGenClosure() {
  let x = 10;
  while (true) yield x++;
}
const genClosure = testGenClosure();
console.log(genClosure.next().value); // 10</code></pre>"
yield函数式迭代应用	"<pre><code class=""language-javascript"">// 将循环展开为离散步骤
function* range(start, end) {
  while (start < end) yield start++;
}

// 模拟reduce操作
const numbers = range(1, 4);
let sum = 0;
for (const n of numbers) {
  sum += n; // 1+2+3
}
console.log(sum); // 6

// 实现函数式流程
function* processSteps(steps) {
  for (const step of steps) {
    const result = yield step;
    console.log(result);
  }
}

const workflow = processSteps([""步骤1"", ""步骤2""]);
workflow.next(); // { value: ""步骤1"", done: false }
workflow.next(""结果1""); // 输出: 结果1
workflow.next(""结果2"");</code></pre>"

# 11 | throw 1;：它在“最简单语法榜”上排名第三

#separator:tab
#html:true
JavaScript完成记录三要素	"<pre><code class=""language-javascript"">// 完成记录的结构
{
  [[Type]]: ""normal"" | ""throw"" | ""break"" | ""continue"" | ""return"",
  [[Value]]: any,  // 值或异常对象
  [[Target]]: """"  // 仅break/continue需要
}

// 五种状态类型示例:
1. normal: { type: ""normal"", value: 1 }   // 正常完成
2. throw: { type: ""throw"", value: Error } // 异常抛出
3. break: { type: ""break"", target: ""loop"" } // 循环中断
4. continue: { type: ""continue"", target: ""inner"" } // 继续循环
5. return: { type: ""return"", value: ""结果"" }  // 函数返回</code></pre>"
JavaScript语句块执行规则	"<pre><code class=""language-javascript"">// 1. 空值不覆盖规则
console.log(eval(`{
  1;
  ; // 空语句
}`)); // 1

// 2. undefined默认覆盖
console.log(eval(`{
  if (true);
}`)); // undefined

// 3. 最终值保留规则
console.log(eval(`{
  ; // 空语句
  2; 
  ""最后"";
}`)); // ""最后""

// 混合规则测试
console.log(eval(`{
  let x = 10;
  x + 5;
  ; // 被忽略
}`)); // 15</code></pre>"
throw语句三阶段机制	"<pre><code class=""language-javascript"">// throw expression执行逻辑
function testThrow(expr) {
  try {
    // 阶段1: 计算表达式
    const exprRef = eval(expr);
    
    // 阶段2: 获取值
    const exprValue = exprRef;
    
    // 阶段3: 返回throw完成记录
    throw exprValue;
  } catch (e) {
    return e;
  }
}

console.log(testThrow(""new Error('测试')"")); // Error: 测试
console.log(testThrow(""123"")); // 123</code></pre>"
try-catch完成记录转换	"<pre><code class=""language-javascript"">// 异常捕获后转为normal完成
function testCatch() {
  try {
    throw ""异常值"";
  } catch(e) {
    console.log(`捕获: ${e}`);
    return ""处理结果"";
  }
}

const result = testCatch();
// 输出: 捕获: 异常值
console.log(result); // ""处理结果"" (返回normal完成)</code></pre>"
GetValue操作与异常短路	"<pre><code class=""language-javascript"">// GetValue解引用过程
const obj = { prop: ""值"" };
const ref = {
  base: obj,
  name: ""prop""
};

// GetValue实现
function GetValue(ref) {
  if (ref instanceof Reference) {
    return ref.base[ref.name];
  }
  return ref;
}

console.log(GetValue(ref)); // ""值""

// 异常短路机制
function ReturnIfAbrupt(x) {
  if (x &amp;&amp; x.type === ""throw"") {
    throw x.value; // 抛出异常
  }
  return x;
}

try {
  const result = ReturnIfAbrupt({ type: ""throw"", value: ""错误"" });
} catch(e) {
  console.log(e); // ""错误""
}</code></pre>"
执行体系分层模型	"<pre><code class=""language-text"">// ECMAScript执行体系分层
1. 解析层 (Parse Tree)
   - 语法结构抽象
   - 示例: if语句 → IfStatement节点

2. 执行层 (Completion Record)
   - 状态跟踪
   - 示例: { type: ""normal"", value: undefined }

3. 异常控制层 (ReturnIfAbrupt)
   - 错误传播管理
   - 示例: 
        if (completion.type === ""throw"") 
            throw completion.value;</code></pre>"
throw关键特性示例	"<pre><code class=""language-javascript"">// 1. 可抛出任意值类型
throw ""字符串错误"";
throw { code: 500, message: ""服务错误"" };
throw new Error(""标准错误"");

// 2. 必须被捕获
try {
  throw ""未捕获错误"";
} catch (e) {
  console.log(`捕获: ${e}`); // 捕获: 未捕获错误
}

// 3. 控制流滥用反例
function badPractice(condition) {
  if (!condition) throw ""条件不满足"";
  return ""正常"";
}

// 应使用
function goodPractice(condition) {
  if (!condition) return ""条件不满足"";
  return ""正常"";
}</code></pre>"
JavaScript空语句特性	"<pre><code class=""language-javascript"">// 空语句执行结果
const emptyStatement = eval("";"");
console.log(emptyStatement); // undefined (但完成记录value为empty)

// 与undefined区别
console.log(eval(""undefined"")); // undefined
console.log(eval("";"")); // undefined

// 完成记录验证
function testEmpty() {
  ;
}
const completion = testEmpty();
// completion = { type: ""normal"", value: undefined }</code></pre>"
异常传播生命周期	"<pre><code class=""language-javascript"">// 异常传播过程
function level1() {
  level2();
}

function level2() {
  level3();
}

function level3() {
  throw new Error(""深层错误"");
}

try {
  level1();
} catch(e) {
  console.log(e.stack); 
  // 显示错误从level3冒泡到level1
}

// 自定义错误处理
class CustomError extends Error {
  constructor(message) {
    super(message);
    this.name = ""CustomError"";
  }
}

throw new CustomError(""自定义错误"");</code></pre>"
最佳实践：异常处理封装	"<pre><code class=""language-javascript"">// 1. 统一错误处理
function safeOperation() {
  try {
    validateInput();
    return process();
  } catch(e) {
    logError(e);
    recover();
    return null;
  }
}

// 2. 错误类型区分
try {
  fetchData();
} catch(e) {
  if (e instanceof NetworkError) {
    retry();
  } else if (e instanceof ValidationError) {
    showUserMessage(e.message);
  } else {
    throw e; // 重新抛出未知错误
  }
}

// 3. 避免过度使用throw
function validateUser(user) {
  // 反模式: if (!user.name) throw ""No name""
  // 推荐:
  if (!user.name) return { valid: false, reason: ""缺少姓名"" };
  return { valid: true };
}</code></pre>"


# 12 | 1 in 1..constructor：这行代码的结果值，既可能是true，也可能是false

#separator:tab
#html:true
JavaScript原型继承实现示例	"<pre><code class=""language-javascript"">// 父类构造函数
function Animal(name) {
  this.name = name;
}

// 父类方法
Animal.prototype.speak = function() {
  return `${this.name} makes a sound`;
};

// 子类构造函数
function Dog(name, breed) {
  Animal.call(this, name);  // 继承属性
  this.breed = breed;
}

// 设置原型链继承
Dog.prototype = Object.create(Animal.prototype);
Dog.prototype.constructor = Dog;  // 修复constructor指向

// 子类新增方法
Dog.prototype.bark = function() {
  return `${this.name} barks loudly!`;
};

// 测试
const myDog = new Dog('Rex', 'Labrador');
console.log(myDog.speak()); // Rex makes a sound
console.log(myDog.bark());  // Rex barks loudly!</code></pre>"
JavaScript属性描述符配置演示	"<pre><code class=""language-javascript"">const obj = {};

Object.defineProperty(obj, 'secretValue', {
  value: 42,
  writable: false,     // 不可修改
  enumerable: false,   // 不可枚举
  configurable: false  // 不可删除或重配置
});

// 测试属性特性
console.log(obj.secretValue); // 42
obj.secretValue = 100;        // 静默失败（严格模式报错）
console.log(obj.secretValue); // 42

console.log(Object.keys(obj)); // [] (不可枚举)
delete obj.secretValue;        // false (不可删除)</code></pre>"
JavaScript包装类机制示例	"<pre><code class=""language-javascript"">const str = ""hello"";
const num = 42;

// 基本类型调用方法时自动包装
console.log(str.toUpperCase()); // ""HELLO""
console.log(num.toString(2));   // ""101010""

// 显式包装对象
const strObj = new String(str);
const numObj = new Number(num);

// 字面量陷阱解决方法
console.log(1..toString());    // ""1"" (正确)
console.log((1).toString());   // ""1"" (正确)
// console.log(1.toString());  // 语法错误</code></pre>"
JavaScript动态原型修改案例	"<pre><code class=""language-javascript"">// 原始原型状态
console.log(1 in 1..constructor); // false (Number[1]不存在)

// 动态修改原型
Number[1] = true;  // 修改构造函数自身属性

// 再次检查
console.log(1 in 1..constructor); // true (Number[1]已存在)

// 避免不确定性的方法
console.log(Object.hasOwnProperty.call(Number, 1)); // true (检查自有属性)</code></pre>"
JavaScript闭包链管理实现	"<pre><code class=""language-javascript"">function createCounter() {
  let count = 0; // 闭包捕获的变量
  
  return {
    increment: function() {
      count++;
      return count;
    },
    current: function() {
      return count;
    }
  };
}

// 测试闭包
const counter = createCounter();
console.log(counter.current()); // 0
console.log(counter.increment()); // 1
console.log(counter.increment()); // 2</code></pre>"
JavaScript属性枚举控制示例	"<pre><code class=""language-javascript"">const obj = {
  name: ""Alice"",
  age: 30,
  [Symbol('id')]: 12345
};

// 定义不可枚举属性
Object.defineProperty(obj, 'password', {
  value: ""secret"",
  enumerable: false
});

// 不同枚举方式比较
console.log(Object.keys(obj));          // [""name"", ""age""]
console.log(Object.getOwnPropertyNames(obj)); // [""name"", ""age"", ""password""]
console.log(Reflect.ownKeys(obj));      // [""name"", ""age"", ""password"", Symbol(id)]</code></pre>"
JavaScript存取描述符应用	"<pre><code class=""language-javascript"">const temperature = {
  _celsius: 25,
  
  // getter模拟无括号调用
  get celsius() {
    return this._celsius;
  },
  
  // setter控制赋值范围
  set celsius(value) {
    if (value < -273) throw ""低于绝对零度"";
    this._celsius = value;
  },
  
  // 计算属性（无括号调用）
  get fahrenheit() {
    return this._celsius * 9/5 + 32;
  }
};

// 测试存取器
console.log(temperature.celsius); // 25 (无括号调用)
temperature.celsius = 30;
console.log(temperature.fahrenheit); // 86 (无括号调用)
// temperature.celsius = -300; // 抛出错误</code></pre>"


# 13 | new X：从构造器到类，为你揭密对象构造的全程

#separator:tab
#html:true
JavaScript 1.0类抄写机制实现	"<pre><code class=""language-javascript"">// 类抄写方式（无原型继承）
function Car(brand) {
  // 类抄写：直接向this添加属性
  this.brand = brand;
  this.start = function() {
    return `${this.brand} engine started`;
  };
}

// 创建实例
const myCar = new Car('Tesla');
console.log(myCar.start()); // ""Tesla engine started""
console.log(myCar.hasOwnProperty('start')); // true（方法在实例上）</code></pre>"
JavaScript原型继承实现示例	"<pre><code class=""language-javascript"">// 父类
function Device(name) {
  this.name = name;
}

// 父类方法
Device.prototype.powerOn = function() {
  return `${this.name} powering on...`;
};

// 子类
function Smartphone(name, os) {
  Device.call(this, name); // 继承属性
  this.os = os;
}

// 设置原型链
Smartphone.prototype = Object.create(Device.prototype);
Smartphone.prototype.constructor = Smartphone;

// 子类特有方法
Smartphone.prototype.checkOS = function() {
  return `${this.name} runs ${this.os}`;
};

// 测试继承
const phone = new Smartphone('iPhone', 'iOS');
console.log(phone.powerOn());  // 继承方法
console.log(phone.checkOS());  // 子类方法</code></pre>"
ES6类声明与继承示例	"<pre><code class=""language-javascript"">class Animal {
  constructor(name) {
    this.name = name;
  }
  
  // ES6方法（无prototype属性）
  speak() {
    return `${this.name} makes a sound`;
  }
}

class Dog extends Animal {
  constructor(name, breed) {
    super(name); // 必须调用super
    this.breed = breed;
  }
  
  // 子类方法
  bark() {
    return `${super.speak()} loudly!`;
  }
}

// 测试
const rex = new Dog('Rex', 'Labrador');
console.log(rex.bark()); // ""Rex makes a sound loudly!""
// Animal(); // TypeError（类必须new调用）</code></pre>"
instanceof原型链检查机制	"<pre><code class=""language-javascript"">class Device {}
class Phone extends Device {}
class SmartPhone extends Phone {}

const device = new SmartPhone();

// instanceof递归检查原型链
console.log(device instanceof SmartPhone); // true
console.log(device instanceof Phone);      // true
console.log(device instanceof Device);     // true
console.log(device instanceof Object);     // true

// 手动验证原型链
console.log(
  Object.getPrototypeOf(device) === SmartPhone.prototype
); // true
console.log(
  Object.getPrototypeOf(SmartPhone.prototype) === Phone.prototype
); // true</code></pre>"
构造器返回值规则演示	"<pre><code class=""language-javascript"">class Base {
  constructor() {
    return { custom: 'object' }; // 返回对象
  }
}

class Derived extends Base {
  constructor() {
    super();
    // 派生类必须返回对象（或默认this）
    return 123; // TypeError（不能返回原始值）
  }
}

class Regular {
  constructor() {
    return 'primitive'; // 非派生类可返回原始值
  }
}

// 测试
console.log(new Base());    // { custom: 'object' }
console.log(new Regular()); // Regular {}（原始值被忽略）
// new Derived(); // 抛出TypeError</code></pre>"
内置构造器继承限制对比	"<pre><code class=""language-javascript"">// ES5尝试继承Function（失败）
function MyFunctionES5() {}
MyFunctionES5.prototype = new Function();
const f5 = new MyFunctionES5();
// f5(); // TypeError: f5 is not a function

// ES6继承Function（成功）
class MyFunctionES6 extends Function {
  constructor() {
    super('return 42');
  }
}

const f6 = new MyFunctionES6();
console.log(f6()); // 42（成功调用）</code></pre>"
方法特性与super实现原理	"<pre><code class=""language-javascript"">class Computer {
  constructor(cpu) {
    this.cpu = cpu;
  }
  
  // 方法（无prototype属性）
  benchmark() {
    return `${this.cpu} score: 1000`;
  }
}

class GamingPC extends Computer {
  constructor(cpu, gpu) {
    super(cpu);
    this.gpu = gpu;
  }
  
  // 方法使用super
  benchmark() {
    // super基于[[HomeObject]]实现
    return `${super.benchmark()} + ${this.gpu} boost`;
  }
}

// 方法特性检查
console.log(typeof GamingPC.prototype.benchmark); // ""function""
console.log('prototype' in GamingPC.prototype.benchmark); // false</code></pre>"
原型链动态控制示例	"<pre><code class=""language-javascript"">class Vehicle {
  move() { return ""Moving...""; }
}

// 动态修改原型
Vehicle.prototype.fly = function() {
  return ""Flying!"";
};

// 创建实例
const car = new Vehicle();

// 实例获得新方法
console.log(car.fly()); // ""Flying!""

// 切断原型链
Object.setPrototypeOf(car, null);
// car.move(); // TypeError（方法不存在）</code></pre>"
字面量解析陷阱解决方案	"<pre><code class=""language-javascript"">const num = 42;

// 错误写法（语法错误）
// console.log(1.toString()); 

// 正确解决方案
console.log(1..toString());     // ""1""（双点号）
console.log((1).toString());    // ""1""（括号包裹）
console.log(1.0.toString());    // ""1""（明确浮点）
console.log(num.toString(2));   // ""101010""（变量调用）</code></pre>"

# 14 | super.xxx()：虽然直到ES10还是个半吊子实现，却也值得一讲

#separator:tab
#html:true
